23_16800_mean_middle,23_6000_mean_middle,18_16800_mean_middle,23_10000_mean_middle,28_16800_mean_middle,18_3000_mean_middle,13_6000_mean_middle,13_3000_mean_middle,13_10000_mean_middle,53_6000_mean_middle,Sensor ID
1317.1777777777777,1317.2916666666667,1030.3563218390805,1317.3820224719102,1579.5360824742268,1029.04,715.0,715.0,715.0,3041.3058823529414,46
1272.591836734694,1273.2068965517242,978.8,1263.92,1496.48,964.548387096774,700.64,687.52,700.6969696969697,2435.775510204081,47
1288.28,1281.7755102040817,1022.0857142857144,1281.8,1571.16,1023.0,736.04,736.68,736.36,3018.84,48
1338.0697674418604,1315.0,1031.8333333333333,1322.28,1577.0,1033.24,709.6046511627907,709.7555555555556,731.8510638297872,3060.435897435897,49
1323.9166666666667,1299.0,1021.0,1313.48,1581.56,1011.96,719.0,719.0,719.72,3053.909090909091,50
1308.12,1302.2,1036.92,1302.6923076923076,1586.28,1019.4,756.2,756.28,755.0,3045.88,51
1351.88,1343.88,1065.4,1343.9565217391305,1626.84,1061.6938775510205,770.36,776.36,752.3636363636364,1937.72,52
1348.4634146341464,1348.52,1075.64,1349.24,1627.64,1060.04,774.92,775.64,775.0,3041.72,53
1320.0434782608695,1326.04,1049.72,1315.1025641025642,1612.5384615384614,1059.0,744.5510204081633,745.0408163265306,744.304347826087,3035.4,54
267.4347826086956,1339.48,141.1,1320.76,1594.3333333333333,1036.5510204081634,755.0,754.1836734693877,754.12,3035.0,55
1303.24,1311.32,1006.6,1311.48,1578.5,1023.88,716.28,708.28,725.8571428571429,3035.64,56
1313.6938775510205,1330.3170731707316,1039.72,1321.88,1590.04,1050.68,734.28,734.6,734.5652173913044,3038.68,57
1271.16,250.6,1036.4736842105262,1282.0204081632653,1555.24,1037.72,727.0,727.0,725.8,3040.2727272727275,58
1311.0,1313.96,1023.96,1321.56,1587.595744680851,1010.7948717948718,724.5238095238095,723.96,724.5652173913044,3033.4,59
1335.3333333333333,1310.6842105263158,1049.5945945945946,1311.0,1601.111111111111,1049.64,735.5,734.8333333333334,746.28,3030.083333333333,60
204.77777777777777,1297.48,73.2439024390244,1296.68,1585.2608695652175,1011.408163265306,719.0,719.0,720.36,3008.92,61
1329.88,1342.1,1059.56,1342.591836734694,1600.76,1065.530612244898,767.0,767.48,767.6530612244898,3040.84,62
1334.76,1346.1836734693877,1058.04,1346.1666666666667,1608.4054054054054,1067.0,774.6,774.12,773.64,1326.84,63
1310.076923076923,1311.0,79.9090909090909,1311.0,1564.2,1016.04,709.08,708.2631578947369,708.9591836734694,3010.28,64
1366.063829787234,1365.938775510204,1086.8947368421052,1366.6,1651.0,1087.9565217391305,795.952380952381,771.8,772.0612244897959,3090.5348837209303,65
1333.0444444444445,1340.2,1070.76,1333.0,1599.0,1051.0,755.0,755.0,756.04,3031.0,66
1353.32,1337.2978723404256,1057.6122448979593,1350.52,1607.0,1059.0,751.0,751.0,751.0,3051.96,67
1421.56,1432.6,1147.0833333333333,1414.04,1664.5813953488373,1123.0,825.530612244898,827.0,826.1304347826087,3121.0,68
1311.32,1312.12,1019.16,1313.8,1476.6666666666667,1020.12,739.2448979591836,739.64,740.84,3036.92,69
1343.0,1322.12,1061.4,1323.0,1643.96,1089.64,755.8571428571429,789.4,770.2,1295.32,70
1364.0232558139537,1366.2727272727273,1069.8,1364.8775510204082,1604.68,1071.0,761.3636363636364,761.4347826086956,762.7948717948718,3061.16,71
1310.2,1303.7659574468084,1030.12,1304.157894736842,1582.76,1035.090909090909,727.64,727.0,727.88,2987.0,72
1342.92,1358.8974358974358,1069.24,1344.76,1604.4,1057.48,771.0,771.32,768.76,3029.0,73
1321.3809523809523,1322.04,1031.0,1321.4489795918366,1590.84,1059.5581395348838,719.8,720.2,720.36,3035.292682926829,74
661.98,1324.12,521.58,1324.44,780.62,521.9,787.0,392.62,787.0,2981.88,75
1294.5428571428572,1294.52,86.28888888888889,1294.84,1580.157894736842,1036.276595744681,721.16,720.76,721.56,380.4634146341463,76
1270.68,1261.24,985.64,1288.4358974358977,1520.7142857142858,975.16,686.5918367346939,687.32,688.1428571428571,1077.48,77
1305.0,1314.04,1031.5128205128206,1314.28,1587.64,1031.0,741.32,741.56,740.6326530612245,708.1555555555556,78
1397.16,1368.92,1104.0434782608695,1367.5833333333333,1660.1162790697674,1104.12,812.92,813.72,814.04,3128.36,79
1349.48,1359.842105263158,1057.08,1359.190476190476,1619.0,1044.3061224489795,753.16,753.4,753.16,3027.0,80
1369.88,1369.72,1099.375,1360.12,1636.84,1086.84,800.76,792.92,798.04,1739.88,81
1360.2,1360.76,1073.24,1360.44,1608.92,1073.4,736.2,736.2,736.76,3060.04,82
1328.6326530612246,1324.76,1053.24,1325.72,1606.52,1040.12,755.0,755.0,778.4782608695652,3013.8936170212764,83
1344.2,1344.76,1112.12,1345.2857142857142,1664.12,1112.28,777.1224489795918,777.08,777.530612244898,3024.268292682927,84
1369.4,1370.022222222222,1068.6326530612246,1370.2,1639.0,1071.0,786.52,772.84,773.1395348837209,3012.44,85
1243.0,1238.12,974.3684210526316,1234.6,1507.4,973.8,685.16,685.1224489795918,685.32,2939.0,86
1370.52,1367.0,1081.56,1351.32,1610.04,1078.28,783.0,789.204081632653,789.4166666666666,3084.913043478261,87
1376.3,1325.32,1111.1951219512196,1325.64,1662.5555555555557,1054.4545454545455,740.52,741.16,740.92,3031.0,88
